NAME,LAST NAME,GENDER,MOBILE NUMBER,VOTER ID,USERNAME,PASSWORD
Anita ,Lamba,O,1298374650,ASD4093876,E-ELEC-ASD4093876,ADNRCEQIU487383
SATYA,PRAKASH,M,2987401293,PLE2983764,E-ELEC-PLE2983764,CDINWFE74
AKANSHA,RAJ,F,8792346781,AZX1234567,E-ELEC-AZX1234567,OPO123
smriti,kalra,O,67001231234,ASD1234567,E-ELEC-ASD1234567,WER123
tina,shah,F,1231231234,QWE1234567,E-ELEC-QWE1234567,QWE123
TISHA,RAI,F,1231234567,ZXC1234567,E-ELEC-ZXC1234567,ZXC123
diya,tyagi,M,980980987,QAZ1234567,E-ELEC-QAZ1234567,QAZ123
SWATI,DIXIT,M,123456789,XCV1234567,E-ELEC-XCV1234567,XCV123
ADITI,AGARWAL,F,9801010101,bhi1234567,E-ELEC-bhi1234567,BHI123
KAMLA,GANDHI,F,1231231238,ALO1234567,E-ELEC-ALO1234567,VGY123
AMIT,SINGH,M,9812213456,ASC1234567,E-ELEC-ASC1234567,NJI1234
