FIRST NAME,SURNAME,AGE,GENDER,DATE OF BIRTH,VOTER ID,ADDRESS,CONSTITUENCY
PRACHI,RAJPUT,18,F,20/11/2003,AYG2789341,"1/193, MIG HOUSES, SECTOR 1,VASUNDHARA,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
RAHUL,DUA,20,M,04/05/2001,ARE8726340,"1/70, ATS APPTS, NITI KHAND 2,INDIRA[URAM,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
TINA,SEN,22,F,31/12/1999,WCY6349801,"E-237, SHRE KRISHAN APPTS, SECTOR 5,VASUMDHARA,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
UTKARSH,.,22,M,31/03/1999,EEE1231239,"193,SECTOR 1 VASUNDHARA,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
ORJA,SHYAM,23,F,03/09/1998,EBU9836280,"D-3, SECTOR-8, SAI APPTS,INDIRAPURAM,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
SIYA,SHARMA,25,F,29/06/1996,CUN8531630,"3-09, FIRST FLOOR, SECTOR 59,DANKAUR,NOIDA,UTTAR PRADESH",NOIDA
SHRUTI,SINGH,19,F,21/03/2002,ABY2347908,"1/985,XYZ APPTS, SECTOR 8,VASUNDHARA,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
SANA,KHAN,28,F,24/05/1993,BJX8934651,"1-204D, RD APPTS, SECTOR 63,NOIDA,GAUTAM BUDH NAGAR,UTTAR PRADESH",GAUTAM BUDH NAGAR
UNI,DIAZ,18,M,02/02/2003,WXU8493110,"D-238, SECTOR 11,VASUNDHARA,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
RAH,GROVER,19,M,23/10/2002,WVU4763001,"A-09, ERS COLONY, SECTOR 6,VASUNDHARA,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
UTKARSH,KUMAR,22,M,31/03/1999,WEC0011228,"U-7893, SECTOR 12,VASUNDHARA,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
NIKHIL,KUKREJA,23,M,12/03/1998,SXP0909347,"C/89, RJ COLONY, SECTOR 5,RAJENDRA NAGAR,GHAZIABAD,UTTAR PRADESH",GHAZIABAD
PRACHI,RAJPUT,21,F,02/11/2000,QWE2983187,"WIUBFE,DSVBRG,GHAZIABAD,SDCV",GHAZIABAD
